company,abi,address_line_1,city,state,zipcode,latitude,longitude,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,year_established
bjs,354299802,200 WRANGLEBORO RD,MAYS LANDING,NJ,08330,39.46677,-74.71208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
bjs,354299802,2300 WRANGLEBORO RD,MAYS LANDING,NJ,08330,39.46677,-74.71208,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,
bjs,354299802,2300 WRANGLEBORO RD # 200,MAYS LANDING,NJ,08330,39.46677,-74.71208,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
bjs,354315210,131 E KINGS HWY,MAPLE SHAD,NJ,08052,39.94932,-74.9739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,354315210,131 E KINGS HWY,MAPLE SHADE,NJ,08052,39.94932,-74.9739,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,354453367,901 TECHNOLOGY CENTER DR,STOUGHTON,MA,02072,42.14848,-71.06493,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
bjs,354475543,820 MARKET ST,WESTMINSTE,MD,21157,39.5647,-76.96616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,354475543,820 MARKET ST,WESTMINSTER,MD,21157,39.56489,-76.966435,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,354676702,8085 COOPER CREEK BLVD,UNIVERSITY,FL,34201,27.39457,-82.45196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,354676702,8085 COOPER CREEK BLVD,UNIVERSITY PARK,FL,34201,27.39418,-82.45186,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,354721359,2300 WRANGLEBORO RD,MAYS LANDING,NJ,08330,39.46677,-74.71208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
bjs,354880494,1801 WOODBURY AVE,PORTSMOUTH,NH,03801,43.09076,-70.7903,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,354913485,1 HOWARD BLVD,LEDGEWOOD,NJ,07852,40.88074,-74.646095,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,355153651,290 TURNPIKE RD,WESTBOROUGH,MA,01581,42.28292,-71.6441,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,
bjs,355177569,100 CORPORATE DR,FRANKLIN,MA,02038,42.09348,-71.43461,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
bjs,355228750,85 CEDAR ST,STONEHAM,MA,02180,42.49897,-71.1171633333333,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,355525254,26 WHITTIER ST,FRAMINGHAM,MA,01701,42.307005,-71.398945,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,355628025,560 BLANDING BLVD,ORANGE PAR,FL,32073,30.15403,-81.74996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,355628025,560 BLANDING BLVD,ORANGE PARK,FL,32073,30.154005,-81.75,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,355913245,396 LUIS MUNOZ MARIN BLVD,JERSEY CITY,NJ,07302,40.72328,-74.04022,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
bjs,355913245,396 MARIN BLVD,JERSEY CIT,NJ,07302,40.72282,-74.04002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,355913245,396 MARIN BLVD,JERSEY CITY,NJ,07302,40.72305,-74.04012,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,
bjs,355993197,105 LONG DR,WOODSTOCK,GA,30189,34.08063,-84.54329,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,
bjs,356014019,5183 TRANSIT RD,BUFFALO,NY,14221,42.98727,-78.69655,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,
bjs,356288399,309 DULTYS LN,BURLINGTON,NJ,08016,40.09934,-74.82571,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
bjs,356525188,38292 COLORADO AVE,AVON,OH,44011,41.4632,-82.04953,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,356742544,1725 MARKET PLACE BLVD,CUMMING,GA,30041,34.190585,-84.131935,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,
bjs,365552751,1357 ROUTE 9,WAPPINGERS FALLS,NY,12590,41.58095,-73.9090133333333,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,
bjs,365552751,1404 ROUTE 9,WAPPINGERS,NY,12590,41.58369,-73.90497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,365552751,1404 ROUTE 9,WAPPINGERS FALLS,NY,12590,41.58508,-73.90499,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,
bjs,366783611,7007 SW 117TH AVE,MIAMI,FL,33183,25.702445,-80.3816,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
bjs,368151452,70 W CAMPBELL RD,SCHENECTADY,NY,12306,42.80658,-73.99206,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
bjs,368151452,70 W CAMPBELL RD # 3,ROTTERDAM,NY,12306,42.80595,-73.9953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,368151452,70 W CAMPBELL RD # 3,SCHENECTADY,NY,12306,42.806775,-73.99245,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,
bjs,368344123,150 NW 125TH ST,NORTH MIAMI,FL,33168,25.88934,-80.2018,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
bjs,368344123,150 NW MIAMI GARDENS DR,MIAMI,FL,33169,25.9449,-80.2141,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,
bjs,369468863,4408 MILESTRIP RD,BLASDELL,NY,14219,42.791,-78.81452,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
bjs,369468863,4408 MILESTRIP RD # 100,BLASDELL,NY,14219,42.7904725,-78.81441,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
bjs,369479712,1929 NE PINE ISLAND RD,CAPE CORAL,FL,33909,26.673285,-81.932295,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,371869868,1170 SOUTH ST,WRENTHAM,MA,02093,42.03284,-71.34885,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
bjs,376062907,1677 HOME AVE,AKRON,OH,44310,41.1159466666667,-81.4835666666667,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,378633614,17250 NW 57TH AVE,HIALEAH,FL,33015,25.92969,-80.295355,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,
bjs,378633614,4690 NW 183RD ST,MIAMI GARDENS,FL,33055,25.93882,-80.27675,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,
bjs,378633614,4690 NW 183RD ST,OPA LOCKA,FL,33055,25.93882,-80.27675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
bjs,378882336,1817 N ROUTE 130,BURLINGTON,NJ,08016,40.09392,-74.81307,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
bjs,378882336,1817 ROUTE 130 N,BURLINGTON,NJ,08016,40.092095,-74.81747,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,
bjs,378930176,1120 HARVEY LN,SUFFIELD,CT,06078,41.94652,-72.62293,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,
bjs,379616485,3067 ROUTE 50,SARATOGA S,NY,12866,43.10455,-73.74097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,379616485,3067 ROUTE 50,SARATOGA SPRINGS,NY,12866,43.10318,-73.7393933333333,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,
bjs,379881485,123 SMITH ST,FARMINGDALE,NY,11735,40.75563,-73.41692,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
bjs,379881485,50 DANIEL ST,FARMINGDAL,NY,11735,40.7471,-73.42813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
bjs,379881485,50 DANIEL ST,FARMINGDALE,NY,11735,40.7474333333333,-73.4269733333333,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,
bjs,379881485,50 DANIEL ST # 2,FARMINGDALE,NY,11735,40.74735,-73.42477,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
bjs,383788569,300 STATE HIGHWAY 17,EAST RUTHERFORD,NJ,07073,40.82415,-74.09645,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
bjs,384552493,790 CENTRE OF NEW ENGLAND BLVD,COVENTRY,RI,02816,41.66305,-71.55005,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
bjs,384947123,17250 NW 57TH AVE,HIALEAH,FL,33015,25.92964,-80.29535,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,
bjs,385202189,1007 US HIGHWAY 9,PARLIN,NJ,08859,40.45111,-74.296035,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
